STATUS | wrapper  | 2013/09/02 10:55:43 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/09/02 10:55:43 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2013/09/02 10:55:43 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/09/02 10:55:43 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/09/02 10:55:43 | 
STATUS | wrapper  | 2013/09/02 10:55:44 | Launching a JVM...
INFO   | jvm 1    | 2013/09/02 10:55:44 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/09/02 10:55:44 | [2013-09-02 10:55:44,582][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
STATUS | wrapper  | 2013/09/02 10:55:52 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2013/09/02 10:55:53 | <-- Wrapper Stopped
STATUS | wrapper  | 2013/09/02 10:57:22 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/09/02 10:57:22 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2013/09/02 10:57:22 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/09/02 10:57:22 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/09/02 10:57:22 | 
STATUS | wrapper  | 2013/09/02 10:57:23 | Launching a JVM...
INFO   | jvm 1    | 2013/09/02 10:57:23 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/09/02 10:57:23 | [2013-09-02 10:57:23,778][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
STATUS | wrapper  | 2013/09/02 10:57:34 | TERM trapped.  Shutting down.
STATUS | wrapper  | 2013/09/02 10:57:35 | <-- Wrapper Stopped
STATUS | wrapper  | 2013/09/02 10:57:40 | --> Wrapper Started as Daemon
STATUS | wrapper  | 2013/09/02 10:57:40 | Java Service Wrapper Community Edition 32-bit 3.5.14
STATUS | wrapper  | 2013/09/02 10:57:40 |   Copyright (C) 1999-2011 Tanuki Software, Ltd. All Rights Reserved.
STATUS | wrapper  | 2013/09/02 10:57:40 |     http://wrapper.tanukisoftware.com
STATUS | wrapper  | 2013/09/02 10:57:40 | 
STATUS | wrapper  | 2013/09/02 10:57:40 | Launching a JVM...
INFO   | jvm 1    | 2013/09/02 10:57:40 | WrapperManager: Initializing...
INFO   | jvm 1    | 2013/09/02 10:57:41 | [2013-09-02 10:57:41,136][WARN ][bootstrap                ] jvm uses the client vm, make sure to run `java` with the server vm for best performance by adding `-server` to the command line
STATUS | wrapper  | 2013/09/02 11:18:59 | TERM trapped.  Shutting down.
